GeneId.Ensembl;PANC.1;PANC.2;SCR.1;SCR.2;SH.1;SH.2;mock.1;mock.2;mrp4.1;mrp4.2;Xmock.1;Xmock.2;Xmock.3;Xmrp4.1;Xmrp4.2;Xmrp4.3;GeneSymbol
ENSG00000223972.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DDX11L2
ENSG00000227232.5;18;18;17;24;15;13;146;89;111;54;151;189;209;286;183;232;WASH7P
ENSG00000278267.1;3;2;1;1;1;2;0;2;1;1;0;3;0;0;5;0;MIR6859-1
ENSG00000284332.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MIR1302-2
ENSG00000237613.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FAM138A
ENSG00000268020.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;OR4G4P
ENSG00000186092.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;OR4F5
ENSG00000238009.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;LOC100996442
ENSG00000233750.3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CICP27
ENSG00000222623.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RNU6-1100P
ENSG00000279457.4;71;58;47;46;49;36;234;161;150;137;297;259;484;637;457;469;WASH9P
ENSG00000273874.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MIR6859-2
ENSG00000228463.10;4;4;4;8;4;2;3;6;2;6;1;0;9;0;0;8;RPL23AP21
ENSG00000236679.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RPL23AP24
ENSG00000284733.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;OR4F29
ENSG00000230021.10;4;5;2;1;5;0;7;8;2;6;1;0;0;0;2;4;LOC101928626
ENSG00000225972.1;9;3;2;3;0;9;1;4;7;3;14;11;14;11;6;7;MTND1P23
ENSG00000225630.1;941;1086;914;757;860;1048;66;14;38;54;22;9;11;33;44;21;MTND2P28
ENSG00000237973.1;1092;529;833;627;668;712;419;1078;657;619;1172;583;868;720;522;697;MTCO1P12
ENSG00000229344.1;19;10;9;18;18;27;6;8;8;3;6;9;11;0;1;3;MTCO2P12
ENSG00000240409.1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;MTATP8P1
ENSG00000248527.1;10037;7779;8157;6477;8073;8569;2216;4177;3176;4234;2936;1889;2152;3143;2025;2224;MTATP6P1
ENSG00000198744.5;18;6;13;8;20;34;12;7;16;7;6;15;13;4;12;17;MTCO3P12
ENSG00000284662.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;OR4F16
ENSG00000223181.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RNU6-1199P
ENSG00000237491.10;10;20;5;8;4;7;34;41;40;46;40;11;35;77;23;35;LINC01409
ENSG00000177757.2;2;1;1;0;0;1;0;2;1;1;0;5;2;0;3;0;FAM87B
ENSG00000228794.11;354;404;184;276;218;258;273;337;312;372;184;175;280;331;296;298;LINC01128
ENSG00000225880.5;10;8;5;3;5;5;11;13;9;8;14;0;20;40;9;6;LINC00115
ENSG00000288531.1;1;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;LOC107984850
ENSG00000230368.2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;FAM41C
ENSG00000234711.1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;TUBB8P11
ENSG00000223764.2;313;297;42;59;49;42;508;665;602;562;286;362;584;802;496;532;LINC02593
ENSG00000187634.13;850;932;158;166;120;84;1075;949;1529;1871;347;307;563;1696;808;1544;SAMD11
ENSG00000188976.11;6980;6844;3520;6010;4068;4031;4284;5021;5355;5311;1691;1154;2309;4260;2886;3471;NOC2L
ENSG00000187961.15;343;355;198;253;205;146;1174;1428;650;652;438;638;869;1067;821;757;KLHL17
ENSG00000187583.11;250;287;111;227;151;161;14;63;2;12;14;7;41;12;4;4;PLEKHN1
ENSG00000187642.9;6;4;2;2;0;1;2;0;1;0;9;0;0;0;2;3;PERM1
ENSG00000188290.11;282;215;317;627;282;275;2704;3357;3386;3327;3666;5011;6261;11588;9209;6481;HES4
ENSG00000187608.10;896;674;410;418;643;538;146;125;63;73;768;484;533;411;355;462;ISG15
ENSG00000188157.15;3764;4339;2284;4941;3957;2314;814;2869;1054;1030;667;460;782;1148;957;1222;AGRN
ENSG00000217801.11;113;112;46;75;212;213;74;111;54;43;66;112;109;54;112;61;LOC100288175
ENSG00000237330.3;2;4;0;2;2;1;1;0;0;1;0;0;4;0;2;0;RNF223
ENSG00000131591.18;665;527;436;493;490;373;640;638;568;583;438;402;651;1020;757;794;C1orf159
ENSG00000223823.1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;LINC01342
ENSG00000207730.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MIR200B
ENSG00000207607.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MIR200A
ENSG00000198976.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MIR429
ENSG00000205231.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TTLL10-AS1
ENSG00000162571.14;1;5;1;0;0;0;0;2;0;0;0;0;0;0;0;0;TTLL10
ENSG00000186891.14;36;52;3;7;1;1;1;3;1;3;2;2;0;0;0;0;TNFRSF18
ENSG00000186827.11;4;2;1;1;3;1;1;1;0;0;0;0;0;0;1;2;TNFRSF4
ENSG00000078808.19;7351;6914;3325;4852;3808;3208;3122;3091;2996;2954;1939;1700;2329;3511;2074;2632;SDF4
ENSG00000176022.7;1991;1441;773;1425;1100;1085;1327;1284;1280;1203;1300;1166;1758;2283;1813;1840;B3GALT6
ENSG00000184163.3;313;178;25;58;7;15;39;38;19;26;20;9;53;17;34;29;C1QTNF12
ENSG00000160087.21;2520;2016;1478;2216;1781;2031;2087;1857;2276;2181;1469;1233;1870;2637;1809;1759;UBE2J2
ENSG00000162572.21;114;112;71;71;85;68;163;273;106;120;140;131;264;352;376;194;SCNN1D
ENSG00000131584.19;794;618;437;537;533;384;924;1511;994;1090;759;735;1091;1738;1277;1254;ACAP3
